sentence,label
I chose law and began to study everything about italian law . ,0
He 's the one who can give the different specialities the possibility to shine .,1
Because this is not very easy to use . ,1
It is because they do not think the new thing to promote or make the people feel very good . ,0
The main reasons are such as the following .,1
I went to the Wegman to buy the watch because I thought it would be nice to have one .,0
"I think most of the people will like that in a busy world , but I don`t thing it will happen the next twenty years .",0
"However , the successful person who achieved great accomplishments did not escape or give up easily in front of things that were even regarded as impossible by other people .",1
"As a tour guide , the person has to be familiar with the place he or she is touring .",1
"These useful skills that I learned from reality are going to be the greatest gift for my future career , and they can not be found in the text books anyways . ",0
if you want a product you give create a beautiful image around it if you want sell it . ,0
"Traveling in a group helps us to make our trip more productive , especially with a tour guide .",1
"apparently , I got a Japanese friend in the Japen , his name is Tomo .",0
This offers you a lot more possibilities and you can stay at places you like and avoid the ones you do n't like . ,0
"When they went down to the forest , then produced fire .",1
There are many people that do n't think before take a choose . ,0
It has come to be one of the most effective measures manufacturers use to sell their products .,1
Why there is n't one that was left around Tunguska ?,1
Somebody who does n't give and just takes can not live within communities .,1
A product needs to have advertisement so it gets to known around a place and it gets its population so everyone will like a piece of it .,0
"I think it is very hard to distribute the point and to make every one to understand , because when few poeple started to do so , they would think it is not fair at all , they are the few who are suffering , other people cannot get it and continue doing the same thing , it just make those people thinks stupid . ",0
The reason these problem occurs is also becayse of the exam . ,0
This would have definately required him to take out immense amount of time from his work and he stands as a perfect example with whom the youngsters of today relate .,0
"Close-up video clips of a juicy hamburger flying around the screen , surely satisfying the models eating it could easily create in the viewers a false sense of being hungry and urge them to hop into their car and drive to a fast food restaurant nearby to get what they have seen . ",0
"Ten years ago , a family that consists of five members owns at least two cars and it satisfies the transportation . ",0
"Otherwise , he or she may feel inadequate one day if he or she furthers his or her study .",1
"I was very fast ; my best time was 5 5 seconds for 4 0 0 hundred meters , and that is a good time in or out of this country . ",1
"If any problem occurs in older age , it is very difficult for them .",1
becaese when we learn about some subjects we should have more information about what we study so that the student will get the information more easier and more better and this is my first reason . ,0
"Secondly , a chimp can also show the capability for grammar , which means it can demonstrate the ability to combine words and use grammatical constructions .",1
one of the most important problem is accidents for sure everyday millions of people dies jus because of the drivers not being carefull as a matter affect i do believe that there will be less cars in twenty years but this will happen just for one reasen that we will use somethink else .,0
"One car should be used by three persons , so it is hoped will lessen the number of car during the busy hour . ",0
I ordered them and was promised that they would be delivered to my house in a few days . ,1
